news_id,title,category,published_at,author,updated_at
N0063,Health Update: Rural Guidelines Released,Health,2022-10-29 13:13:40,editor_mark,2024-02-01 18:05:47
N0064,Infrastructure Investment in Local,Infrastructure,2023-04-15 13:21:09,editor_jane,2023-04-26 13:05:49
N0065,Environmental Report: Local Initiative,Environment,2022-03-12 16:56:53,editor_mark,2022-06-05 09:49:31
N0066,Infrastructure Investment in National,Infrastructure,2024-09-17 21:30:15,admin,2024-12-22 05:09:52
N0067,Cultural Event: Social Festival,Culture,2023-03-18 16:56:18,editor_sara,2024-03-17 07:07:53
N0068,Economic Outlook: Digital Forecast,Economy,2022-10-14 09:34:32,editor_sara,2023-01-02 05:02:18
N0069,Health Update: Social Guidelines Released,Health,2022-04-12 12:10:47,admin,2023-12-25 23:38:09
N0070,Cultural Event: Urban Festival,Culture,2024-09-04 19:26:12,editor_jane,2024-09-15 05:16:23
N0071,Cultural Event: Rural Festival,Culture,2023-04-17 23:48:32,admin,2023-06-23 03:41:45
N0072,Housing Plan: Local Development,Housing,2023-10-09 12:05:31,editor_sara,2024-04-01 19:12:18
N0073,Transport Update: Future Corridor,Transport,2023-11-19 17:50:07,editor_sara,2024-07-07 16:53:57
N0074,Environmental Report: Future Initiative,Environment,2024-06-02 08:02:35,admin,2024-06-25 17:25:48
N0075,Education Reform: Digital Programme,Education,2024-08-29 16:53:26,admin,2024-10-09 16:20:21
N0076,Infrastructure Investment in Local,Infrastructure,2023-01-08 14:49:19,admin,2023-05-23 14:56:28
N0077,Infrastructure Investment in Social,Infrastructure,2022-01-05 03:45:29,editor_sara,2023-10-01 18:23:49
N0078,Environmental Report: Digital Initiative,Environment,2022-02-20 16:54:07,editor_mark,2023-02-15 06:57:41
N0079,Transport Update: Digital Corridor,Transport,2022-04-21 13:46:25,editor_jane,2023-04-19 04:26:37
N0080,Community Support: Rural Fund,Community,2022-06-28 07:10:14,editor_jane,2024-10-21 05:55:39
N0081,Environmental Report: Regional Initiative,Environment,2022-08-09 22:57:11,editor_jane,2022-11-28 21:18:17
N0082,Environmental Report: Future Initiative,Environment,2024-07-13 08:50:58,editor_mark,2024-12-05 19:14:43
N0083,Transport Update: Digital Corridor,Transport,2022-07-13 04:14:25,editor_sara,2024-07-10 06:34:01
N0084,Environmental Report: Social Initiative,Environment,2024-02-17 10:57:18,editor_sara,2024-09-14 03:56:52
N0085,Health Update: Public Guidelines Released,Health,2024-07-18 00:25:22,editor_mark,2024-07-25 18:11:14
N0086,Cultural Event: National Festival,Culture,2023-01-24 22:23:31,editor_jane,2023-02-14 00:32:54
N0087,Cultural Event: Digital Festival,Culture,2024-07-01 01:31:45,admin,2024-07-05 02:12:35
N0088,Infrastructure Investment in Social,Infrastructure,2024-01-01 21:32:31,editor_mark,2024-07-21 10:38:07
N0089,Infrastructure Investment in Social,Infrastructure,2024-06-28 06:40:12,admin,2024-09-20 22:02:28
N0090,Transport Update: Green Corridor,Transport,2023-06-25 12:55:42,editor_mark,2024-05-07 17:05:18
N0091,Health Update: Public Guidelines Released,Health,2022-09-07 19:59:06,editor_sara,2024-02-02 03:57:24
N0092,Environmental Report: Local Initiative,Environment,2024-10-26 06:54:16,admin,2024-12-04 04:01:32
N0093,Transport Update: Digital Corridor,Transport,2022-05-17 19:06:25,editor_mark,2023-09-18 09:09:23
N0094,Health Update: Regional Guidelines Released,Health,2023-09-20 20:44:17,editor_sara,2024-10-24 13:30:26
N0095,Community Support: Local Fund,Community,2022-03-26 04:52:29,editor_mark,2023-01-11 14:27:31
N0096,Cultural Event: Social Festival,Culture,2024-02-14 09:10:11,admin,2024-10-14 06:24:06
N0097,Education Reform: Urban Programme,Education,2023-02-19 20:34:41,editor_mark,2024-04-21 10:46:27
N0098,Transport Update: National Corridor,Transport,2024-12-20 16:38:52,admin,2024-12-26 13:49:49
N0099,Cultural Event: Urban Festival,Culture,2023-01-07 17:39:21,editor_mark,2024-07-12 00:58:00
N0100,Housing Plan: Public Development,Housing,2022-01-22 05:49:15,admin,2024-05-29 03:14:44
